"teamId","teamName","player","position","currentEvidenceRole","currentEstimateType","currentConfidenceScore","generalSearchUrl","dailyTelegraphSearchUrl","smhSearchUrl","clubContractSearchUrl"
"nzl","New Zealand Warriors","Tanah Boyd","Halfback","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Tanah%20Boyd%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Tanah%20Boyd%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Tanah%20Boyd%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Tanah%20Boyd%22%20contract"
"nzl","New Zealand Warriors","James Fisher-Harris","Prop","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22James%20Fisher-Harris%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22James%20Fisher-Harris%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22James%20Fisher-Harris%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22James%20Fisher-Harris%22%20contract"
"nzl","New Zealand Warriors","Wayde Egan","Hooker","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Wayde%20Egan%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Wayde%20Egan%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Wayde%20Egan%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Wayde%20Egan%22%20contract"
"nzl","New Zealand Warriors","Jackson Ford","Prop","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Jackson%20Ford%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Jackson%20Ford%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Jackson%20Ford%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Jackson%20Ford%22%20contract"
"nzl","New Zealand Warriors","Kurt Capewell","2nd Row","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Kurt%20Capewell%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Kurt%20Capewell%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Kurt%20Capewell%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Kurt%20Capewell%22%20contract"
"nzl","New Zealand Warriors","Leka Halasima","2nd Row","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Leka%20Halasima%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Leka%20Halasima%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Leka%20Halasima%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Leka%20Halasima%22%20contract"
"nzl","New Zealand Warriors","Mitch Barnett","Lock","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Mitch%20Barnett%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Mitch%20Barnett%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Mitch%20Barnett%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Mitch%20Barnett%22%20contract"
"nzl","New Zealand Warriors","Chanel Tevita-Harris","Interchange","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Chanel%20Tevita-Harris%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Chanel%20Tevita-Harris%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Chanel%20Tevita-Harris%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Chanel%20Tevita-Harris%22%20contract"
"nzl","New Zealand Warriors","Erin Clark","Interchange","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Erin%20Clark%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Erin%20Clark%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Erin%20Clark%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Erin%20Clark%22%20contract"
"nzl","New Zealand Warriors","Morgan Gannon","Interchange","backup_baseline","reported_exact","42","https://www.google.com/search?q=%22Morgan%20Gannon%22%20%22New%20Zealand%20Warriors%22%20salary%20contract%20worth%20deal%20extension%20NRL","https://www.google.com/search?q=site%3Adailytelegraph.com.au%20%22Morgan%20Gannon%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Asmh.com.au%20%22Morgan%20Gannon%22%20salary%20contract%20NRL","https://www.google.com/search?q=site%3Awarriors.kiwi%20%22Morgan%20Gannon%22%20contract"
